,name,released_date,rating,votes,score
314,If You Could See What I Hear,1982-04-23,PG,785.0,6.8
315,Partners,1982-04-30,R,1200.0,5.3
316,Richard Pryor: Live on the Sunset Strip,1982-03-12,R,3900.0,7.7
317,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982-11-19,G,1800.0,7.1
318,Monsignor,1982-10-22,R,838.0,5.1
319,"Yes, Giorgio",1982-09-24,PG,653.0,3.9
320,I Ought to Be in Pictures,1982-03-26,PG,895.0,6.2
321,La traviata,1983-02-18,G,1300.0,7.2
322,Fighting Back,1982-05-21,R,460.0,6.1
323,Kamikaze 89,1982-07-16,Not Rated,665.0,5.8
324,The Wizard of Oz,1982-10-06,Not Rated,352.0,6.8
325,Heidi's Song,1982-11-19,G,256.0,6.3
326,Love Child,1982-10-15,R,253.0,5.7
327,Boardinghouse,1983-10-21,R,651.0,3.8
328,Experience Preferred... But Not Essential,1982-12-22,PG,240.0,7.0
329,The Personals,1982-10-01,PG,75.0,6.7
330,Lonely Hearts,1982-10-21,R,336.0,6.8
331,Scarface,1983-12-09,R,766000.0,8.3
332,The Outsiders,1983-03-25,PG,78000.0,7.1
333,Star Wars: Episode VI - Return of the Jedi,1983-05-25,PG,973000.0,8.3
334,Risky Business,1983-08-05,R,83000.0,6.8
335,National Lampoon's Vacation,1983-07-29,R,100000.0,7.4
336,Trading Places,1983-06-08,R,141000.0,7.5
337,Superman III,1983-06-17,PG,66000.0,5.0
338,The Big Chill,1983-09-30,R,34000.0,7.2
339,Staying Alive,1983-07-15,PG,15000.0,4.7
340,Jaws 3-D,1983-07-22,PG,41000.0,3.7
341,Christine,1983-12-09,R,75000.0,6.7
342,Sleepaway Camp,1983-11-18,R,28000.0,6.3
343,Flashdance,1983-04-15,R,50000.0,6.2
344,WarGames,1983-06-03,PG,93000.0,7.1
345,The Right Stuff,1984-02-17,PG,57000.0,7.8
346,Krull,1983-07-29,PG,31000.0,6.1
347,Spring Break,1983-03-25,R,2800.0,4.9
348,The Dead Zone,1983-10-21,R,65000.0,7.2
349,Octopussy,1983-06-10,PG,98000.0,6.5
350,Private School,1983-07-29,R,6100.0,5.3
351,Valley Girl,1983-04-29,R,14000.0,6.4
352,Rumble Fish,1983-10-21,R,32000.0,7.2
353,Videodrome,1983-02-04,R,86000.0,7.2
354,Terms of Endearment,1983-12-09,PG,57000.0,7.4
355,Twilight Zone: The Movie,1983-06-24,PG,34000.0,6.5
356,Never Say Never Again,1983-10-07,PG,63000.0,6.2
357,A Christmas Story,1983-11-18,PG,134000.0,7.9
358,Cujo,1983-08-12,R,41000.0,6.1
359,Sudden Impact,1983-12-09,R,42000.0,6.6
360,The Hunger,1983-04-29,R,24000.0,6.7
361,Mr. Mom,1983-08-19,PG,22000.0,6.6
362,Blue Thunder,1983-05-13,R,18000.0,6.4
363,Breathless,1983-05-13,R,8700.0,5.9
364,Psycho II,1983-06-03,R,25000.0,6.5
365,Local Hero,1983-03-17,PG,22000.0,7.4
366,Bad Boys,1983-03-25,R,14000.0,7.2
367,Silkwood,1984-01-27,R,19000.0,7.2
368,All the Right Moves,1983-10-21,R,16000.0,5.9
369,The Keep,1983-12-16,R,11000.0,5.7
370,My Tutor,1983-04-22,R,3300.0,5.2
371,Yentl,1984-01-06,PG,13000.0,6.6
372,Fire and Ice,1983-08-26,PG,10000.0,6.6
373,Eddie and the Cruisers,1983-09-23,PG,6900.0,6.9
374,Yellowbeard,1983-06-24,PG,7500.0,6.0
375,The Meaning of Life,1983-03-31,R,115000.0,7.5
376,Nostalghia,1992-03-01,Not Rated,24000.0,8.1
377,Hot Dog... The Movie,1984-01-13,R,3200.0,5.0
378,Smokey and the Bandit Part 3,1983-08-12,PG,8200.0,3.5
379,Deathstalker,1983-09-16,R,4600.0,4.6
380,Porky's II: The Next Day,1983-06-24,R,11000.0,5.0
381,Something Wicked This Way Comes,1983-04-29,PG,8600.0,6.8
382,Tender Mercies,1983-03-04,PG,9700.0,7.4
383,Star 80,1984-02-03,R,6000.0,6.7
384,Gorky Park,1983-12-16,R,13000.0,6.7
385,Lone Wolf McQuade,1983-04-15,PG,11000.0,6.3
386,Easy Money,1983-08-19,R,8200.0,6.3
387,Merry Christmas Mr. Lawrence,1983-09-02,R,16000.0,7.3
388,Losin' It,1983-04-22,R,4200.0,4.9
389,Screwballs,1983-04-01,R,3000.0,4.7
390,Brainstorm,1983-09-30,PG,11000.0,6.4
391,The Man with Two Brains,1983-06-03,R,25000.0,6.4
392,Angel,1984-01-13,R,2900.0,5.7
393,10 to Midnight,1983-03-11,R,7200.0,6.3
394,Uncommon Valor,1983-12-16,R,9300.0,6.4
395,Doctor Detroit,1983-05-06,R,5400.0,5.2
396,Mortuary,1983-09-02,R,1900.0,5.2
397,Stroker Ace,1983-07-01,PG,3700.0,4.9
398,Sahara,1984-03-02,PG,1500.0,5.0
399,Two of a Kind,1983-12-16,PG,3900.0,4.7
400,Chained Heat,1983-05-27,R,2100.0,5.0
401,Spacehunter: Adventures in the Forbidden Zone,1983-05-20,PG,5500.0,5.5
402,High Road to China,1983-03-18,PG,5100.0,6.1
403,Never Cry Wolf,1984-01-27,PG,7800.0,7.5
404,The Pirates of Penzance,1983-02-18,G,3300.0,7.1
405,Rock & Rule,1987-07-24,PG,3400.0,6.5
406,Hercules,1983-08-26,PG,3600.0,4.0
407,Educating Rita,1983-10-28,PG,13000.0,7.2
409,Under Fire,1983-10-21,R,7200.0,7.0
410,Amityville 3-D,1983-11-18,PG,6000.0,4.1
411,Testament,1984-01-05,PG,5800.0,7.0
412,The Osterman Weekend,1983-11-04,R,8200.0,5.9
413,Revenge of the Ninja,1983-09-16,R,4700.0,6.1
414,Zelig,1983-08-25,PG,41000.0,7.7
415,Independence Day,1983-09-09,R,458.0,6.5
416,Escape from the Bronx,1985-01-18,R,2300.0,4.6
417,To Be or Not to Be,1983-12-16,PG,10000.0,6.8
418,Eureka,1983-05-20,R,3100.0,6.0
419,The Wicked Lady,1983-10-28,R,1100.0,4.7
420,Still Smokin,1983-05-06,R,7400.0,5.6
421,"Yor, the Hunter from the Future",1983-08-19,PG,2900.0,4.4
422,Of Unknown Origin,1983-11-24,R,2900.0,6.1
423,Curse of the Pink Panther,1983-08-12,PG,5700.0,4.3
424,D.C. Cab,1983-12-16,R,4400.0,5.5
425,Beyond the Limit,1983-09-30,R,1200.0,5.7
426,The Survivors,1983-06-22,R,4700.0,5.8
427,The Lonely Lady,1983-09-30,R,938.0,3.0
428,The Star Chamber,1983-08-05,R,6500.0,6.3
429,The Dresser,1983-12-06,PG,4900.0,7.6
430,The Lords of Discipline,1983-02-18,R,2600.0,6.6
431,Cross Creek,1983-10-27,PG,1700.0,7.0
432,The Man Who Loved Women,1983-12-16,R,2200.0,5.3
433,Nightmares,1983-09-09,R,3000.0,5.8
434,Deal of the Century,1983-11-04,PG,3600.0,4.6
435,Eddie Macon's Run,1983-03-25,PG,1100.0,5.7
436,Max Dugan Returns,1983-03-25,PG,3300.0,6.6
437,The Sting II,1983-02-18,PG,2100.0,4.9
438,Baby It's You,1983-03-04,R,1700.0,6.3
439,Heat and Dust,1983-01-01,R,1600.0,6.6
440,Going Berserk,1983-09-30,R,1700.0,5.2
441,Daniel,1984-02-10,R,1200.0,6.6
442,Heart Like a Wheel,1983-04-01,PG,1300.0,6.7
443,Love Letters,1984-04-27,R,701.0,5.9
444,Get Crazy,1983-08-05,R,1100.0,6.7
445,Nate and Hayes,1983-11-18,PG,2100.0,6.2
446,Strange Invaders,1983-09-16,PG,2700.0,5.5
447,The Black Stallion Returns,1983-03-25,PG,2100.0,6.0
448,Metalstorm: the Destruction of Jared-Syn,1983-08-19,PG,1600.0,3.8
449,Getting It on,1983-08-01,R,208.0,3.7
450,Lianna,1983-09-08,R,1600.0,6.8
451,Better Late Than Never,1983-04-15,PG,115.0,5.8
452,Lovesick,1983-02-18,PG,747.0,5.2
453,Running Brave,1983-11-04,PG,659.0,6.7
454,Exposed,1983-04-22,R,786.0,5.1
455,Trenchcoat,1983-03-11,PG,456.0,5.3
456,Stryker,1983-09-02,R,617.0,4.3
457,The Man Who Wasn't There,1983-08-12,R,513.0,3.8
458,Table for Five,1983-03-10,PG,681.0,6.1
459,Romantic Comedy,1983-10-07,PG,786.0,5.2
460,Young Warriors,1983-08-28,R,460.0,4.7
461,"Man, Woman and Child",1983-09-07,PG,368.0,6.1
462,Hanna K.,1983-09-07,R,661.0,6.3
463,Slayground,1984-02-01,R,360.0,4.9
465,Richard Pryor... Here and Now,1983-10-28,R,2200.0,7.3
466,Deadly Force,1983-07-15,R,300.0,4.9
467,My Brother's Wedding,1985-03-01,Not Rated,826.0,7.2
468,Blue Skies Again,1983-04-29,PG,169.0,5.4
470,Cross Country,1983-11-18,R,182.0,5.4
471,A Polish Vampire in Burbank,1983-10-31,Not Rated,275.0,5.0
472,Forever Young,1986-01-29,Not Rated,51.0,6.7
473,The Golden Seal,1983-08-19,PG,313.0,5.3
475,The Terminator,1984-10-26,R,812000.0,8.0
476,Dune,1984-12-14,PG-13,132000.0,6.5
477,Ghostbusters,1984-06-08,PG,365000.0,7.8
478,The Karate Kid,1984-06-22,PG,205000.0,7.3
479,Once Upon a Time in America,1984-06-01,R,321000.0,8.4
480,Police Academy,1984-03-23,R,118000.0,6.7
481,Indiana Jones and the Temple of Doom,1984-05-23,PG,459000.0,7.5
482,Body Double,1984-10-26,R,30000.0,6.8
483,A Nightmare on Elm Street,1984-11-16,R,212000.0,7.5
484,Amadeus,1984-09-19,PG,377000.0,8.3
485,Beverly Hills Cop,1984-12-05,R,171000.0,7.3
486,Red Dawn,1984-08-10,PG-13,53000.0,6.4
487,The NeverEnding Story,1984-07-20,PG,135000.0,7.4
488,Footloose,1984-02-17,PG,73000.0,6.6
