,released_date,budget,gross
317,1982-11-19,20500000.0,78350.0
318,1982-10-22,20500000.0,12408066.0
319,1982-09-24,19000000.0,2279543.0
320,1982-03-26,20500000.0,6968359.0
321,1983-02-18,20500000.0,3783329.0
322,1982-05-21,20500000.0,3355948.0
323,1982-07-16,20500000.0,22440.0
324,1982-10-06,20500000.0,20208496.0
325,1982-11-19,20500000.0,5124391.0
326,1982-10-15,20500000.0,20208496.0
327,1983-10-21,10000.0,20208496.0
328,1982-12-22,20500000.0,20208496.0
329,1982-10-01,435000.0,20208496.0
330,1982-10-21,20500000.0,777087.0
331,1983-12-09,25000000.0,65884703.0
332,1983-03-25,10000000.0,25697647.0
333,1983-05-25,32500000.0,475106177.0
334,1983-08-05,6200000.0,63541777.0
335,1983-07-29,15000000.0,61399552.0
336,1983-06-08,15000000.0,90404800.0
337,1983-06-17,39000000.0,59950623.0
338,1983-09-30,8000000.0,56399659.0
339,1983-07-15,22000000.0,64892670.0
340,1983-07-22,20500000.0,87987055.0
341,1983-12-09,9700000.0,21017849.0
342,1983-11-18,350000.0,20208496.0
343,1983-04-15,4000000.0,92921203.0
344,1983-06-03,12000000.0,79567667.0
345,1984-02-17,27000000.0,21192315.0
346,1983-07-29,47000000.0,16916617.0
347,1983-03-25,20500000.0,24071666.0
348,1983-10-21,10000000.0,20766616.0
349,1983-06-10,27500000.0,67893619.0
350,1983-07-29,3500000.0,14049540.0
351,1983-04-29,350000.0,17343596.0
352,1983-10-21,10000000.0,2494480.0
353,1983-02-04,5952000.0,2120439.0
354,1983-12-09,8000000.0,108423749.0
355,1983-06-24,10000000.0,29450919.0
356,1983-10-07,36000000.0,55432841.0
357,1983-11-18,3300000.0,20653717.0
358,1983-08-12,5000000.0,21156152.0
359,1983-12-09,22000000.0,67642693.0
360,1983-04-29,20500000.0,5988322.0
361,1983-08-19,20500000.0,64783827.0
362,1983-05-13,22000000.0,42313354.0
363,1983-05-13,7500000.0,19910002.0
364,1983-06-03,5000000.0,34725000.0
365,1983-03-17,20500000.0,5899678.0
366,1983-03-25,20500000.0,9190819.0
367,1984-01-27,10000000.0,35615609.0
368,1983-10-21,5600000.0,17233166.0
369,1983-12-16,11000000.0,4218594.0
370,1983-04-22,20500000.0,22587834.0
371,1984-01-06,12000000.0,40218899.0
372,1983-08-26,1200000.0,760883.0
373,1983-09-23,20500000.0,4786789.0
374,1983-06-24,6500000.0,4300000.0
375,1983-03-31,9000000.0,14949697.0
376,1992-03-01,20500000.0,55269.0
377,1984-01-13,20500000.0,20307325.0
378,1983-08-12,20500000.0,5678950.0
379,1983-09-16,457000.0,11919250.0
380,1983-06-24,6500000.0,33759266.0
381,1983-04-29,19000000.0,8400000.0
382,1983-03-04,20500000.0,8443124.0
383,1984-02-03,12000000.0,6472990.0
384,1983-12-16,15000000.0,15856028.0
385,1983-04-15,5000000.0,12232628.0
386,1983-08-19,20500000.0,29309766.0
387,1983-09-02,20500000.0,2306560.0
388,1983-04-22,7000000.0,1246141.0
389,1983-04-01,800000.0,2082215.0
390,1983-09-30,15000000.0,10219460.0
391,1983-06-03,20500000.0,10353438.0
392,1984-01-13,3000000.0,17488564.0
393,1983-03-11,4520000.0,7175592.0
394,1983-12-16,14500000.0,30503151.0
395,1983-05-06,20500000.0,10375893.0
396,1983-09-02,250000.0,4319001.0
397,1983-07-01,20500000.0,13000000.0
398,1984-03-02,25000000.0,1402962.0
399,1983-12-16,14000000.0,23646952.0
400,1983-05-27,1250000.0,6149983.0
401,1983-05-20,14400000.0,16478265.0
402,1983-03-18,19000000.0,28445927.0
403,1984-01-27,20500000.0,29600000.0
404,1983-02-18,20500000.0,694497.0
405,1987-07-24,8000000.0,30379.0
406,1983-08-26,2500000.0,10676194.0
407,1983-10-28,20500000.0,14648076.0
409,1983-10-21,9500000.0,5696391.0
410,1983-11-18,6000000.0,6333135.0
411,1984-01-05,20500000.0,2044892.0
412,1983-11-04,6500000.0,6486797.0
413,1983-09-16,700000.0,13168027.0
414,1983-08-25,20500000.0,11798616.0
415,1983-09-09,20500000.0,20208496.0
416,1985-01-18,20500000.0,20208496.0
417,1983-12-16,9000000.0,13030214.0
418,1983-05-20,20500000.0,123572.0
419,1983-10-28,8000000.0,724912.0
420,1983-05-06,20500000.0,15543710.0
421,1983-08-19,20500000.0,2810199.0
422,1983-11-24,4000000.0,1080470.0
423,1983-08-12,11000000.0,4491986.0
424,1983-12-16,8000000.0,16134627.0
425,1983-09-30,11800000.0,5997566.0
426,1983-06-22,12000000.0,14000000.0
427,1983-09-30,5000000.0,1223200.0
428,1983-08-05,20500000.0,5555305.0
429,1983-12-06,20500000.0,5310748.0
430,1983-02-18,20500000.0,11787127.0
431,1983-10-27,20500000.0,20208496.0
432,1983-12-16,19000000.0,10964740.0
433,1983-09-09,6000000.0,6670680.0
434,1983-11-04,10000000.0,10369581.0
435,1983-03-25,5000000.0,1262691.0
436,1983-03-25,20500000.0,17613720.0
437,1983-02-18,20500000.0,6347072.0
438,1983-03-04,3000000.0,1867792.0
439,1983-01-01,20500000.0,1772889.0
440,1983-09-30,20500000.0,20208496.0
441,1984-02-10,20500000.0,687475.0
442,1983-04-01,20500000.0,272278.0
443,1984-04-27,550000.0,5269990.0
444,1983-08-05,5500000.0,1645711.0
445,1983-11-18,12000000.0,1963756.0
446,1983-09-16,20500000.0,1362303.0
447,1983-03-25,20500000.0,12049514.0
448,1983-08-19,20500000.0,5301085.0
449,1983-08-01,220000.0,975414.0
450,1983-09-08,300000.0,1530839.0
451,1983-04-15,20500000.0,20208496.0
452,1983-02-18,10100000.0,10171304.0
453,1983-11-04,8000000.0,3000000.0
454,1983-04-22,20500000.0,1818910.0
455,1983-03-11,5000000.0,4304286.0
456,1983-09-02,20500000.0,1723487.0
457,1983-08-12,20500000.0,2443487.0
458,1983-03-10,20500000.0,2439705.0
459,1983-10-07,20500000.0,6857733.0
460,1983-08-28,20500000.0,20208496.0
461,1983-09-07,20500000.0,2314561.0
462,1983-09-07,20500000.0,20208496.0
463,1984-02-01,20500000.0,108128.0
465,1983-10-28,20500000.0,16156776.0
466,1983-07-15,3000000.0,20208496.0
467,1985-03-01,50000.0,26177.0
468,1983-04-29,20500000.0,20208496.0
470,1983-11-18,2500000.0,20208496.0
471,1983-10-31,3000.0,20208496.0
472,1986-01-29,20500000.0,20208496.0
473,1983-08-19,20500000.0,6666725.0
475,1984-10-26,6400000.0,78371200.0
476,1984-12-14,40000000.0,30925690.0
477,1984-06-08,30000000.0,296187079.0
478,1984-06-22,8000000.0,91119319.0
479,1984-06-01,30000000.0,5473212.0
480,1984-03-23,4500000.0,81198894.0
481,1984-05-23,28000000.0,333107271.0
482,1984-10-26,10000000.0,8801940.0
483,1984-11-16,1800000.0,25507137.0
484,1984-09-19,18000000.0,52066791.0
485,1984-12-05,14000000.0,316360478.0
486,1984-08-10,17000000.0,38376497.0
487,1984-07-20,27000000.0,20251411.0
488,1984-02-17,8200000.0,80039064.0
489,1984-08-10,8000000.0,40874452.0
490,1984-06-08,11000000.0,153633143.0
491,1984-03-30,10000000.0,86572238.0
492,1984-06-01,14500000.0,8089290.0
493,1984-05-04,6500000.0,23686027.0
494,1984-08-23,20500000.0,2207548.0
495,1984-03-02,2500000.0,4736202.0
496,1985-03-22,20500000.0,8430492.0
497,1984-06-08,9000000.0,20458340.0
498,1984-06-29,18000000.0,31042035.0
499,1984-03-09,800000.0,14568989.0
500,1984-07-13,15000000.0,28733290.0
501,1984-03-09,8000000.0,69821334.0
502,1985-01-18,1500000.0,4228292.0
503,1984-05-11,28000000.0,47951979.0
504,1984-06-29,5000000.0,38435947.0
505,1987-11-25,1000000.0,8736506.0
506,1984-04-13,2600000.0,32980880.0
507,1984-05-04,20500000.0,7121719.0
508,1984-03-02,13000000.0,21689062.0
509,1984-11-21,35000000.0,14296438.0
510,1984-05-04,25000000.0,8613462.0
511,1984-05-11,15000000.0,17080167.0
512,1984-08-31,1250000.0,4654423.0
513,1984-08-15,9000000.0,25348610.0
514,1984-12-14,20500000.0,6770587.0
515,1984-10-05,20500000.0,6254148.0
516,1984-06-01,17000000.0,76471046.0
517,1984-03-02,1500000.0,129000.0
518,1984-12-07,28000000.0,40400657.0
519,1985-02-01,14400000.0,34700291.0
520,1984-12-14,58000000.0,25928721.0
